sex,length,diameter,weight,age
F,114,87,165.9,11.5
M,116,92,212.6,10.5
M,118,93,223,11.5
F,120,90,167.4,11.5
M,121,89,196.4,13.5
M,122,98,222.4,11.5
F,125,103,269.7,15.5
M,132,103,313.1,10.5
I,51,38,17.2,6.5
I,54,39,21.3,6.5
I,56,43,26.4,6.5
I,57,43,21.5,7.5
I,64,51,34.9,9.5
I,65,48,30.4,9.5
I,77,56,55.1,9.5
I,79,59,58.6,8.5
F,80,61,73.6,8.5
I,81,62,62.4,9.5
I,83,61,67.2,8.5
I,84,63,71,7.5
I,88,61,75.8,10.5
I,89,64,75.6,9.5
M,90,70,93.1,9.5
F,91,71,118.8,9.5
M,92,69,98.7,9.5
M,92,69,91.9,8.5
M,93,72,99.1,8.5
I,93,71,86.5,10.5
F,95,76,137.8,8.5
I,96,70,109.3,9.5
M,97,78,123.4,9.5
I,98,74,107.6,9.5
M,100,78,156.3,10.5
F,100,76,127.1,9.5
M,101,77,128.7,8.5
M,105,77,102.3,9.5
M,107,84,147.6,9.5
F,107,84,139.8,9.5
F,108,77,153.1,11.5
F,108,84,150.1,10.5
F,109,86,168.8,10.5
M,110,82,174.1,10.5
I,110,84,133.6,12.5
F,113,88,166,10.5
M,116,90,173.7,9.5
F,116,87,167.8,8.5
F,117,97,215.8,12.5
M,119,93,183.8,10.5
F,120,94,226.9,11.5
F,122,86,181.8,9.5
M,122,96,248.7,9.5
F,124,98,211.2,10.5
M,129,99,241.9,10.5
M,130,100,247.6,9.5
F,133,105,328.8,11.5
M,137,110,354.5,12.5
F,138,108,250.5,13.5
F,141,114,352.2,11.5
F,142,100,263.3,11.5
M,144,117,382.8,12.5
F,144,115,420,13.5
F,146,111,337.9,11.5
M,155,114,406.4,18.5
F,101,78,132,9.5
M,106,85,149.1,11.5
F,101,77,123.2,12.5
I,81,61,56.5,8.5
M,83,60,67.1,8.5
M,100,78,130.2,12.5
M,85,66,72.2,8.5
M,94,70,95.5,9.5
F,80,62,69.3,11.5
I,74,58,50,11.5
M,100,76,132,20.5
I,82,62,63,10.5
M,75,58,55.2,10.5
F,98,77,107.9,12.5
M,117,96,208,11.5
M,119,91,208.2,15.5
F,135,110,337.7,16.5
M,133,107,436.7,28.5
M,124,98,242.1,14.5
I,65,50,33.2,6.5
I,91,71,90.4,10.5
M,105,81,143.7,9.5
I,77,58,46.4,8.5
I,26,19,2.1,5.5
I,36,26,5.5,4.5
I,62,45,28.9,7.5
F,75,58,56.4,8.5
F,96,76,121.6,9.5
I,91,74,86.6,10.5
M,85,65,65.9,8.5
I,95,72,91.1,10.5
F,87,70,91.7,12.5
F,58,42,55,7.5
M,77,59,67,8.5
M,94,75,85.3,9.5
F,100,80,115.3,11.5
I,80,62,25.4,8.5
M,124,102,230.1,13.5
M,119,94,178.3,13.5
M,117,91,194,10.5
M,64,48,36,7.5
F,104,82,139.7,11.5
M,88,70,91.7,10.5
F,88,66,80.1,9.5
M,113,85,142.9,13.5
F,112,85,186.4,10.5
F,118,91,193.2,11.5
F,114,93,199.9,17.5
M,136,106,299.2,15.5
F,90,72,101.3,11.5
I,64,48,34.7,8.5
I,92,70,78.9,10.5
M,94,74,93.3,11.5
M,91,70,80.2,10.5
F,83,65,69.1,10.5
M,93,70,104.1,12.5
M,92,75,98.7,13.5
M,83,62,64.9,9.5
M,54,39,21.2,8.5
M,89,71,88.3,11.5
F,149,117,393.2,19.5
F,80,60,60.5,9.5
I,56,40,24.5,6.5
M,110,88,175.8,11.5
M,116,92,245.5,17.5
M,122,100,254.3,13.5
M,124,99,361.2,18.5
M,112,84,161.7,15.5
F,128,102,278.1,13.5
M,138,110,369.3,20.5
F,143,113,439.9,18.5
F,142,113,363.4,12.5
F,110,94,179.4,10.5
M,75,61,64.9,6.5
F,122,90,227.2,10.5
I,76,56,54.7,7.5
F,74,55,48.1,6.5
M,67,47,30.9,7.5
I,33,23,2.9,5.5
M,57,42,23.7,8.5
I,38,26,5.9,7.5
I,43,30,7.7,6.5
M,119,93,159.8,11.5
F,129,100,236.9,14.5
M,115,90,185,13.5
F,114,90,219.6,21.5
F,116,90,214.2,15.5
F,119,96,195,16.5
F,119,94,256.6,15.5
F,125,84,211.9,22.5
M,107,84,183.9,17.5
M,110,86,185.9,14.5
M,99,80,161.7,7.5
I,64,47,29.7,7.5
M,89,68,89.5,10.5
F,104,80,137.3,10.5
M,99,77,126.7,15.5
M,94,74,109.4,13.5
F,98,74,117,11.5
M,116,94,185.4,12.5
M,129,99,298.7,16.5
F,115,97,208.1,15.5
I,43,34,12.1,7.5
I,86,65,73.5,14.5
I,52,43,19.8,6.5
I,74,56,46.6,12.5
I,81,61,72.5,11.5
I,54,38,16.2,7.5
F,136,110,319.2,22.5
F,130,103,280.1,14.5
F,129,98,281.2,26.5
M,114,81,184.9,20.5
M,123,96,272,19.5
M,84,69,86,8.5
I,55,44,27.3,7.5
F,58,45,28,6.5
M,84,68,84.3,9.5
F,125,105,315.3,17.5
F,110,93,242.5,28.5
M,132,101,326.1,19.5
M,113,94,228.4,18.5
F,119,99,273.2,14.5
M,126,102,307.8,18.5
F,86,65,89,9.5
F,91,70,114.5,11.5
I,66,52,38,8.5
F,103,83,152.8,14.5
M,99,78,170.6,15.5
F,97,75,117.7,14.5
F,107,92,157.5,9.5
M,116,93,207,18.5
F,125,105,270.4,14.5
F,111,91,191.6,15.5
F,110,85,159.4,10.5
M,118,95,171.4,14.5
I,71,56,44.7,8.5
I,55,40,17.2,8.5
F,101,78,138.4,13.5
M,74,56,44.5,8.5
M,111,86,151.5,14.5
F,101,80,145.8,10.5
F,112,89,180.6,10.5
M,119,95,219.3,18.5
F,114,90,180.6,15.5
M,120,96,245.8,14.5
F,112,87,221.2,16.5
M,117,93,234.2,18.5
I,92,67,88.8,9.5
F,92,72,95.1,9.5
M,83,63,77.6,13.5
F,87,64,75.7,12.5
F,95,76,97.2,8.5
M,93,72,105.3,11.5
I,71,56,45.5,12.5
M,92,75,102.1,10.5
F,76,65,62.1,11.5
F,94,73,108.6,10.5
M,72,54,44.5,7.5
F,117,91,199.6,13.5
M,131,118,309.1,12.5
M,120,97,253.5,14.5
F,114,92,220,15.5
F,129,100,285.7,12.5
M,130,99,358.6,15.5
M,102,79,123.7,13.5
M,104,76,116.5,9.5
M,99,83,149.7,14.5
M,86,67,81.2,9.5
F,118,93,220.1,14.5
M,110,92,173.8,11.5
M,117,86,191,12.5
F,116,91,184.3,18.5
F,124,102,291.2,14.5
I,118,90,178.6,15.5
F,144,115,445.2,14.5
F,127,102,242.5,15.5
F,122,96,213.5,16.5
F,109,89,170.5,14.5
M,114,90,172.3,13.5
F,120,95,232.4,19.5
F,104,82,174.1,15.5
M,127,102,319.6,16.5
F,134,104,281.2,14.5
M,139,114,406.6,16.5
M,131,105,251.8,21.5
F,124,96,218.7,15.5
F,120,95,236.1,20.5
M,102,81,143.5,10.5
M,105,81,151.5,11.5
M,88,75,97.4,10.5
I,97,83,114.1,9.5
F,99,77,138.1,11.5
I,87,69,89.5,8.5
I,81,63,69.4,10.5
I,84,66,70.4,10.5
F,100,79,142.9,10.5
F,77,61,66.3,8.5
I,66,53,36,7.5
F,116,95,194.8,11.5
I,65,54,37,7.5
M,95,75,112.6,11.5
F,76,60,64.3,10.5
I,68,52,35.8,7.5
M,105,85,140.4,13.5
F,104,83,160.9,11.5
F,107,90,161.5,14.5
M,95,72,115.6,9.5
I,83,65,77,8.5
I,99,77,117,9.5
F,96,81,127.5,11.5
F,104,85,162.6,11.5
M,92,75,114.7,10.5
F,116,91,188,12.5
M,118,98,201.6,12.5
F,110,83,155,24.5
F,130,100,228.9,13.5
F,93,75,120,17.5
M,91,71,103,12.5
M,94,75,115.9,14.5
F,87,70,76.8,14.5
M,70,53,59.3,8.5
I,63,48,27.4,9.5
M,119,94,198.2,17.5
F,116,95,185,15.5
M,115,87,161,18.5
M,107,87,178.3,14.5
M,103,84,153.8,14.5
F,101,77,123.7,13.5
F,101,79,130.3,16.5
I,80,62,57.5,11.5
M,98,79,110.9,15.5
M,106,87,147.3,13.5
I,79,65,61.2,9.5
F,133,107,299.2,18.5
F,83,61,72.1,11.5
M,86,69,60.9,12.5
M,95,79,118.4,14.5
F,105,85,159.9,16.5
I,96,78,116.5,16.5
I,84,69,68.7,10.5
M,118,92,181.2,16.5
F,103,84,125.9,10.5
M,139,110,310.3,14.5
F,160,126,505.2,24.5
M,122,98,220.6,24.5
F,113,96,191.4,19.5
M,112,91,172,12.5
M,131,97,324,18.5
M,128,104,281.4,18.5
F,118,94,180,12.5
I,62,48,29.1,8.5
I,51,37,15,7.5
I,34,25,4.7,7.5
M,134,110,249.4,22.5
F,142,113,345.3,18.5
F,112,86,160.5,14.5
M,101,80,152.8,12.5
M,105,86,172.9,17.5
F,90,72,94.3,10.5
F,103,87,126.2,13.5
M,118,95,189.1,20.5
M,140,106,263.7,19.5
F,144,112,345.3,18.5
M,127,99,216.2,12.5
M,111,88,180.5,14.5
M,115,94,228.3,14.5
M,117,91,205.4,18.5
F,122,97,268.9,21.5
F,129,105,289.8,14.5
F,109,88,154.9,12.5
M,110,90,157.9,13.5
F,132,105,273.3,19.5
M,114,95,205.9,19.5
F,120,94,206.2,16.5
F,126,101,213,13.5
M,139,114,377,20.5
M,130,109,248.5,16.5
F,144,119,393.8,17.5
I,112,88,188.9,13.5
I,84,65,70.8,9.5
M,36,25,4.6,4.5
F,81,65,71.5,13.5
F,100,81,119.3,13.5
I,87,67,76.6,13.5
M,68,55,41.3,11.5
F,86,68,76.4,9.5
I,107,82,126.3,13.5
I,83,65,65.7,13.5
F,72,53,43.3,11.5
M,35,27,6.1,6.5
M,31,23,4.8,6.5
I,105,86,147.3,12.5
F,105,78,120.1,17.5
F,88,69,85.7,12.5
F,90,69,99.2,13.5
F,97,73,123.9,15.5
I,94,70,113.4,12.5
I,103,75,130.1,11.5
M,84,68,89.9,12.5
F,91,70,89.7,17.5
M,74,58,48.2,11.5
M,66,50,39.4,11.5
I,60,44,28.5,8.5
I,125,92,247.9,15.5
I,122,95,207.7,15.5
I,125,93,194.4,15.5
I,127,101,266.3,18.5
I,100,77,152.4,15.5
F,106,86,155,18.5
I,89,66,87.4,14.5
F,117,83,139.7,13.5
I,88,71,87,17.5
M,58,45,25.9,11.5
I,111,91,168.7,16.5
I,131,103,250,16.5
F,116,92,203.4,11.5
I,125,86,282.2,13.5
I,124,97,241.6,16.5
F,128,100,214.1,9.5
F,101,75,117.9,11.5
I,100,79,107.4,10.5
M,62,49,30,8.5
F,101,76,130.2,13.5
I,84,61,56,10.5
M,80,63,57.4,11.5
M,85,63,70.5,19.5
M,62,47,24,12.5
F,93,70,98.8,19.5
F,93,72,95.3,11.5
M,70,51,42.9,14.5
I,104,83,119,16.5
F,95,73,96.1,13.5
F,82,63,64.2,11.5
M,52,40,19.2,7.5
I,115,90,186.3,14.5
I,113,87,156.4,15.5
M,52,38,18.9,7.5
F,106,77,133.9,11.5
M,68,51,42.6,10.5
I,104,76,105,12.5
F,127,100,262.4,19.5
F,122,97,217.4,12.5
F,132,103,304.6,17.5
I,127,100,263.8,17.5
F,93,76,115.8,15.5
M,103,80,163.5,24.5
I,67,48,34,10.5
F,103,80,159.2,17.5
F,69,51,39.4,10.5
M,93,71,105.1,14.5
M,108,83,175.8,11.5
M,95,71,92.5,10.5
F,89,67,91.3,12.5
M,100,71,105.6,10.5
M,100,76,116.7,13.5
F,110,87,176.8,15.5
I,55,41,19.2,7.5
F,70,53,37.1,8.5
F,74,57,54,10.5
F,84,66,92.6,11.5
M,70,52,39.6,11.5
M,79,61,56.4,10.5
I,65,40,19.9,9.5
I,55,40,18.4,6.5
I,47,34,12.5,7.5
I,50,36,14.6,6.5
I,50,37,14.2,6.5
I,40,29,7.2,5.5
F,117,94,219.8,21.5
M,89,70,118.1,15.5
F,100,77,153.6,14.5
M,88,65,82.6,9.5
M,103,81,170.1,18.5
F,104,81,138.3,12.5
M,100,78,141.8,12.5
M,85,65,75.1,10.5
M,102,83,163.7,17.5
F,74,55,45.4,9.5
M,108,83,164.9,14.5
M,123,95,236.5,12.5
M,113,88,224.4,21.5
M,129,103,322.3,15.5
F,123,94,259.7,15.5
M,121,98,260,15.5
F,118,91,232.2,13.5
M,129,97,297.8,19.5
M,114,84,201.6,14.5
F,94,71,88.2,9.5
F,100,88,148.4,15.5
F,104,85,140,14.5
M,78,57,54.2,9.5
M,104,80,171.3,13.5
F,108,83,179.5,15.5
M,92,72,122.1,15.5
I,71,52,38.5,9.5
F,98,80,132.7,14.5
F,126,102,247,12.5
M,100,77,152.3,15.5
M,98,78,118.4,16.5
M,88,65,78,8.5
F,103,79,151.3,11.5
F,95,76,114,12.5
I,84,62,57.3,9.5
M,80,61,58.7,10.5
M,90,72,113.4,13.5
F,104,80,124.9,16.5
M,101,80,168.3,13.5
M,99,80,155.5,16.5
M,108,82,197.8,20.5
F,96,78,138.1,13.5
F,66,52,40,10.5
I,57,42,21.8,6.5
I,60,46,25.4,7.5
I,62,48,57.7,7.5
I,68,51,36,7.5
I,75,60,28.8,8.5
I,83,65,93.3,8.5
I,83,63,66,7.5
I,83,63,72.5,7.5
I,84,64,68,9.5
I,85,62,73,7.5
M,93,75,100,9.5
F,93,70,125.3,9.5
I,94,74,111.1,9.5
F,94,75,120.3,9.5
I,95,73,106,11.5
M,96,74,126.3,8.5
M,100,80,154.3,9.5
I,101,78,122.5,8.5
M,105,85,174.4,10.5
M,108,84,162.3,10.5
M,109,90,175.9,12.5
F,113,88,196.6,10.5
M,116,92,229,12.5
M,118,91,218,10.5
M,118,96,252.4,10.5
M,119,98,237,11.5
F,120,95,288.1,10.5
F,120,100,266.4,9.5
F,120,97,228.1,10.5
M,121,95,240.2,11.5
F,125,98,266,11.5
M,126,100,272.4,11.5
M,128,117,329.4,13.5
F,128,100,299.9,12.5
F,131,109,324.5,13.5
I,132,105,357.2,12.5
M,132,107,358.2,16.5
F,135,111,385,14.5
F,135,110,337.8,14.5
F,138,110,331.8,10.5
F,139,106,409.5,15.5
F,140,105,320.3,11.5
F,146,114,403.3,11.5
I,41,30,8,5.5
I,45,34,11.3,5.5
I,46,36,12.8,6.5
I,55,39,17.5,5.5
I,56,42,21.2,6.5
I,56,44,26.3,6.5
I,59,44,25.2,7.5
I,62,45,31,7.5
I,63,47,29.8,8.5
I,68,53,37,8.5
I,74,58,50.9,7.5
I,76,57,47.4,7.5
I,78,59,55.8,8.5
I,81,62,64.1,7.5
I,83,65,66.7,8.5
I,88,67,77.7,8.5
I,88,69,109,7.5
I,88,65,83.3,7.5
I,88,71,99,8.5
I,90,70,95.5,7.5
I,90,70,93.6,9.5
F,91,70,91.1,8.5
F,92,70,92,7.5
I,92,69,83.1,8.5
I,92,69,84.3,7.5
I,93,71,94.8,8.5
M,93,68,97.2,10.5
I,95,77,114.7,8.5
I,95,71,93.6,9.5
M,96,74,102.7,9.5
M,100,75,124.3,8.5
I,100,76,98.8,8.5
I,101,77,120.1,8.5
M,103,79,129.2,10.5
M,105,83,158.9,8.5
M,105,85,162.4,9.5
F,106,84,165.6,7.5
M,106,82,136.2,7.5
F,106,81,177.8,9.5
M,108,87,146.9,10.5
F,110,85,192.8,9.5
F,111,85,192.6,8.5
F,114,89,199,10.5
F,114,87,171.7,9.5
M,115,90,189.6,8.5
F,116,89,177.6,9.5
F,117,90,180.9,9.5
M,118,93,209.2,8.5
F,119,94,235.5,10.5
F,119,93,215.3,10.5
F,119,93,205.1,12.5
F,120,92,186.5,9.5
F,120,92,247,9.5
M,120,92,249.4,10.5
M,122,96,229.9,9.5
F,123,97,231.5,11.5
F,123,100,265.4,11.5
M,123,94,240,9.5
F,124,102,254.1,10.5
F,124,97,243.1,11.5
F,124,95,264.9,10.5
M,125,96,271.1,11.5
F,125,98,225.4,10.5
F,125,98,221.5,9.5
F,126,99,285.1,12.5
F,126,99,229.4,10.5
M,126,96,257.2,9.5
F,127,99,319.2,12.5
F,127,99,259.4,12.5
M,129,98,250.2,10.5
M,129,100,302.1,13.5
F,130,100,288.3,10.5
M,134,104,327.7,10.5
F,138,109,386.6,14.5
M,138,108,342,9.5
F,139,110,369.9,11.5
M,139,105,348.4,13.5
F,140,115,359.5,14.5
F,141,112,476.2,11.5
M,153,117,479.6,13.5
M,154,120,438.9,11.5
I,44,32,9.8,5.5
I,55,41,21.1,6.5
I,58,42,20.9,6.5
I,66,48,32.6,7.5
I,71,57,45.5,7.5
I,75,58,43.8,7.5
I,83,63,72.9,9.5
I,85,66,65.3,7.5
I,85,68,70.3,8.5
I,86,64,69.3,8.5
I,88,68,81.4,8.5
I,88,67,84.3,8.5
I,92,69,75.1,8.5
I,92,74,106.7,7.5
I,93,71,88.4,8.5
I,95,73,26.3,8.5
I,95,75,104.1,8.5
I,97,75,110.7,9.5
I,98,75,108.9,9.5
M,98,76,110.8,9.5
I,99,76,102.4,8.5
I,100,78,116.6,9.5
M,100,76,115.3,10.5
M,101,80,144.6,8.5
I,102,79,107.9,9.5
I,102,77,125,9.5
I,103,80,118.5,10.5
I,104,79,126.6,10.5
F,109,86,166.4,10.5
M,109,84,155.6,8.5
M,109,84,157.3,8.5
F,109,80,155.6,10.5
I,110,84,127.2,9.5
F,110,88,168.7,9.5
I,111,85,129.6,9.5
M,113,86,156.8,10.5
F,114,90,181.6,10.5
M,114,90,204,10.5
F,114,86,162.2,10.5
F,115,96,179.4,9.5
M,116,91,170.4,9.5
F,117,90,187.6,8.5
F,117,87,139.1,9.5
M,118,94,172.2,9.5
M,118,92,200.8,10.5
F,118,92,202.3,9.5
F,119,93,220.1,9.5
M,119,94,221.6,10.5
M,119,92,170.4,10.5
M,120,98,397.5,11.5
F,121,96,215.8,11.5
F,123,95,211,10.5
M,123,90,239.6,8.5
F,123,94,216.8,10.5
M,123,95,220.6,11.5
M,124,98,220,10.5
M,124,96,220.3,11.5
M,125,99,276.7,12.5
F,125,98,223,10.5
M,125,96,217,11.5
M,126,101,263.3,12.5
M,126,102,268.3,11.5
M,126,93,205.4,9.5
M,129,103,236.9,10.5
M,129,96,238.4,10.5
F,129,104,257,10.5
M,130,103,236.1,10.5
M,130,104,253.1,10.5
F,130,107,257.9,11.5
M,130,102,281.4,10.5
F,130,98,224.4,10.5
M,132,103,289.3,11.5
F,133,101,269.8,10.5
M,134,100,253.8,12.5
M,134,102,336,14.5
F,135,110,310.2,14.5
M,136,104,295.5,12.5
M,136,106,305.8,12.5
M,140,105,351.7,11.5
M,140,110,304.6,14.5
F,145,106,346.3,12.5
M,145,110,302,10.5
M,147,114,376,12.5
F,148,115,402.4,13.5
M,150,111,440.2,12.5
I,38,28,6.3,4.5
I,42,30,8,5.5
I,50,35,12.7,5.5
I,58,43,19.7,6.5
I,67,50,33.4,7.5
I,68,49,40.3,7.5
I,69,51,36.6,7.5
I,71,51,37.4,8.5
I,72,52,35.9,6.5
I,74,55,41.3,8.5
I,75,58,60,9.5
I,75,55,45.9,8.5
I,77,60,68.6,8.5
I,77,57,48.8,9.5
I,79,64,61.5,9.5
I,80,61,68.3,8.5
I,81,61,54.2,8.5
I,81,62,182,9.5
I,81,61,53.6,8.5
I,81,60,57.7,7.5
I,82,63,60,9.5
I,82,65,65.2,9.5
I,83,67,71.6,8.5
I,84,65,62.8,9.5
I,84,63,80.5,9.5
I,86,68,72.9,8.5
I,89,72,84.7,10.5
M,90,65,86.1,9.5
I,90,67,70.1,8.5
I,91,68,97.2,9.5
I,92,70,94.2,9.5
I,92,69,83,9.5
I,95,71,103.9,8.5
M,96,75,117.9,12.5
I,97,76,104.3,9.5
I,97,73,89.5,9.5
I,98,73,111.7,11.5
I,101,77,119.2,10.5
I,101,76,107.7,10.5
I,102,77,153.3,9.5
F,103,79,103.2,10.5
M,103,82,147.1,8.5
I,103,78,106.2,9.5
I,105,77,121.4,9.5
F,105,83,141.1,11.5
I,105,80,128.9,9.5
I,105,75,126.3,10.5
M,107,86,156.9,11.5
F,109,88,189.5,9.5
I,110,86,142.4,11.5
I,110,85,178,11.5
I,110,84,182.4,10.5
I,110,85,131.2,11.5
I,110,93,187.2,10.5
I,111,87,139.5,12.5
F,111,89,229.3,9.5
I,112,88,165,11.5
I,112,87,144,12.5
I,113,86,164.3,12.5
F,114,89,203.4,11.5
F,115,87,179.5,10.5
M,116,88,245.1,11.5
F,116,93,197.3,12.5
F,116,85,168.8,10.5
I,117,92,169.3,11.5
M,117,93,177,11.5
I,117,84,134.7,10.5
F,117,91,175.1,9.5
M,118,94,184.7,10.5
M,118,95,195.4,11.5
M,119,95,206.1,11.5
M,120,96,210,9.5
M,120,99,222.9,12.5
M,120,90,175.4,10.5
M,120,102,257,10.5
M,122,96,261.3,11.5
F,122,90,174.5,12.5
F,123,92,205.3,11.5
F,124,93,232.1,10.5
F,124,96,202.5,11.5
M,125,100,219.2,11.5
M,125,98,241,11.5
M,126,101,244.2,13.5
F,126,95,200.1,11.5
M,126,94,227.1,13.5
M,126,105,262.7,11.5
M,128,101,239.1,12.5
M,128,97,219.6,11.5
M,128,99,227.8,11.5
F,128,99,245.3,12.5
M,128,103,208.4,11.5
M,130,104,273.6,10.5
M,130,102,289.2,13.5
F,132,101,280.9,10.5
F,132,105,292.6,12.5
F,135,105,342.2,10.5
M,140,108,348,14.5
F,141,108,351.4,10.5
M,142,113,320.2,12.5
M,144,110,433,11.5
M,145,114,466.1,10.5
I,48,34,10.9,6.5
I,51,39,14.5,5.5
I,55,40,18.5,5.5
I,64,47,36.6,8.5
I,65,48,30.5,7.5
I,66,45,37.4,8.5
I,72,54,46.4,9.5
I,75,53,39.2,6.5
I,75,57,50.9,7.5
I,78,58,52.5,8.5
I,90,67,72.4,8.5
I,91,70,88.9,8.5
I,92,73,102.2,8.5
I,99,75,117.8,9.5
M,100,73,118.9,10.5
I,100,75,105.8,9.5
M,104,80,174.4,10.5
I,104,79,154,8.5
F,105,86,168.7,10.5
M,107,81,163.6,8.5
F,108,84,160.7,10.5
F,108,83,162.3,10.5
F,114,85,156.4,9.5
M,114,84,174.9,9.5
M,116,89,196.8,10.5
F,116,89,190,9.5
M,118,94,234.7,10.5
F,118,91,195.2,11.5
M,118,97,215.7,10.5
M,119,87,211.4,10.5
M,120,95,222,10.5
M,120,90,228.4,11.5
M,121,95,225.1,11.5
F,124,96,220.9,11.5
M,125,95,268.1,11.5
M,125,100,216.4,9.5
F,125,97,250.8,10.5
M,126,98,240.1,11.5
M,126,97,248.6,11.5
F,127,102,257.2,13.5
F,129,98,233.3,10.5
F,129,98,228.8,9.5
F,130,105,277,12.5
F,131,103,261.8,12.5
F,131,103,305.4,12.5
M,133,103,327.7,12.5
M,139,108,338.2,12.5
F,144,113,343.8,12.5
F,144,110,304,11.5
F,144,113,322.6,13.5
M,147,114,447.1,11.5
M,148,119,464.7,12.5
I,62,46,24.9,7.5
I,63,47,25.7,5.5
I,64,41,36.2,6.5
I,65,50,31.7,7.5
I,67,52,39.3,8.5
I,74,56,39.6,6.5
I,74,54,37.1,8.5
I,75,56,42.9,8.5
I,80,63,64.9,9.5
I,82,61,52.5,7.5
I,85,68,74.2,9.5
I,87,67,59.6,8.5
I,89,62,67.2,8.5
I,92,72,89.4,10.5
F,93,70,81.7,9.5
I,94,77,117.4,9.5
I,95,75,98.8,9.5
I,99,75,122.8,9.5
I,100,78,101.5,10.5
I,100,74,108.9,9.5
I,101,85,122.3,10.5
I,101,80,112.1,9.5
M,101,73,104.2,9.5
I,102,80,115.5,10.5
I,102,80,118.7,9.5
I,104,80,119.4,9.5
M,104,93,190.1,9.5
I,106,76,123.2,9.5
M,106,81,166.3,11.5
F,107,89,174.5,9.5
I,108,85,163.1,12.5
I,108,83,123.8,11.5
I,109,86,151.9,9.5
I,109,86,148.4,11.5
I,110,87,160.8,9.5
I,110,85,132.8,9.5
F,110,87,149,10.5
I,112,86,145.6,9.5
I,112,87,155.4,10.5
F,115,85,175.3,9.5
I,115,91,197.9,10.5
M,115,90,193.1,9.5
M,116,93,181.3,9.5
M,116,92,209.8,11.5
F,116,90,194.1,10.5
F,116,90,184,10.5
M,116,89,190.5,12.5
F,116,88,157.1,12.5
I,117,90,171,10.5
M,118,100,228.4,10.5
I,118,92,151,10.5
I,118,95,194.9,11.5
M,119,94,240.3,11.5
M,119,92,225.9,11.5
I,120,89,184.1,10.5
F,120,96,211.2,11.5
M,120,90,268,11.5
F,120,90,192.5,10.5
M,120,93,209.5,12.5
F,121,99,218.3,14.5
M,121,98,233.4,10.5
I,121,96,199.9,11.5
I,122,85,209.7,12.5
F,122,94,254.7,13.5
M,122,96,212.5,12.5
I,122,98,230.9,12.5
F,123,95,238.8,12.5
F,123,103,224.3,10.5
M,123,91,186.7,11.5
F,123,99,239.6,11.5
F,124,95,190.9,10.5
M,124,95,271.7,11.5
M,125,99,241.5,12.5
M,125,103,243.4,11.5
F,125,100,243.4,12.5
F,125,98,184,11.5
M,125,98,175.3,11.5
F,126,96,252.3,11.5
M,126,106,255.9,10.5
F,126,97,233.4,11.5
M,126,102,237.7,8.5
F,127,97,275.3,12.5
M,127,104,258.4,12.5
M,127,97,235.9,11.5
F,127,100,258,9.5
M,127,103,241.5,12.5
M,128,101,259.4,12.5
M,128,115,291.7,12.5
F,129,97,230.2,13.5
F,129,104,239.4,12.5
M,129,99,307.8,13.5
M,130,104,335.2,16.5
F,130,113,332.9,13.5
F,131,100,305.6,12.5
F,131,103,298.8,13.5
F,132,105,255.4,14.5
F,132,105,319.3,11.5
F,133,102,276.1,11.5
I,134,97,251.3,10.5
F,134,105,305.4,13.5
M,134,105,280.1,10.5
M,134,105,288.1,10.5
M,134,108,296.4,11.5
M,136,103,246.9,12.5
F,136,101,268.7,13.5
M,137,101,306.6,11.5
M,138,103,368.9,14.5
M,143,110,365,12.5
M,144,116,417.7,14.5
M,147,118,417.4,13.5
M,149,115,376.8,13.5
I,64,43,61,7.5
I,86,69,85.9,9.5
I,86,66,89.8,7.5
M,97,73,205.8,9.5
M,98,71,196.2,9.5
I,100,74,114.9,8.5
F,101,76,138.6,9.5
F,102,74,236.6,10.5
F,105,82,158.1,9.5
F,107,80,244.8,11.5
I,107,80,155,9.5
M,107,81,254.1,14.5
M,111,81,281.2,11.5
M,111,85,174.6,10.5
M,112,85,188.3,10.5
F,118,88,201.4,10.5
M,119,97,216.7,9.5
I,119,86,196.9,9.5
F,119,86,304.9,12.5
M,122,95,204.8,10.5
M,122,97,256.2,10.5
F,124,100,229.6,11.5
F,125,98,227.2,10.5
F,127,102,244.7,10.5
F,127,105,273.9,12.5
M,128,97,201.2,10.5
M,128,99,261.4,12.5
M,129,101,292.6,11.5
F,131,101,258.1,11.5
F,134,103,285.3,12.5
M,136,108,357.7,14.5
M,140,109,322.7,12.5
M,146,117,446.1,15.5
F,150,123,452.7,13.5
I,51,37,14.8,5.5
I,75,52,41.5,7.5
I,75,57,47.4,9.5
I,78,60,53.3,8.5
I,78,56,43,9.5
I,79,60,50.6,7.5
I,84,64,61.8,7.5
I,87,67,70.7,8.5
I,87,65,67,9.5
I,88,64,77.5,10.5
I,90,66,73,9.5
I,90,68,80.9,9.5
I,91,71,74.4,10.5
I,92,74,79.3,9.5
I,94,75,104.5,9.5
I,95,75,91.2,10.5
I,99,66,88,8.5
I,99,75,101.4,9.5
I,100,76,105.7,9.5
I,103,77,114.4,8.5
I,104,82,132.5,12.5
I,104,79,128.9,12.5
I,105,80,125.5,9.5
I,107,84,137.7,10.5
M,107,82,136.7,9.5
M,108,84,137.1,11.5
I,110,81,135.1,11.5
I,110,89,156.6,12.5
M,112,90,178.8,10.5
I,113,88,153.6,10.5
M,114,90,190,11.5
F,114,94,174.2,11.5
M,115,94,195.7,10.5
I,115,86,148.5,9.5
M,115,89,147.4,11.5
